==12434== NVPROF is profiling process 12434, command: ./srad
==12434== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==12434== Profiling application: ./srad
==12434== Profiling result:
==12434== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"inst_issued2",9216,9216,9216,460800
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"inst_executed",73856,73856,73856,3692800
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"thread_inst_executed",2292480,2292480,2292480,114624000
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"not_predicated_off_thread_inst_executed",2226944,2226944,2226944,111347200
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"global_load",4224,4224,4224,211200
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"global_store",512,512,512,25600
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"generic_load",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"generic_store",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"inst_executed_in_trap",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"active_cycles_in_trap",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"local_store",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"local_load",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"shared_load",2560,2560,2560,128000
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"shared_store",2560,2560,2560,128000
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"inst_executed_shared_atom_cas",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"shared_atom",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"global_atom_cas",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"atom_count",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"gred_count",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"divergent_branch",576,576,576,28800
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"branch",9280,9280,9280,464000
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"shared_ld_bank_conflict",576,576,576,28800
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"shared_st_bank_conflict",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"shared_ld_transactions",3136,3136,3136,156800
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"shared_st_transactions",2560,2560,2560,128000
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"active_cycles",198145,232122,203553,10177675
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"elapsed_cycles_sm",529420,560070,537191,26859576
"Tesla P100-SXM2-16GB (0)","srad_cuda_2(float*, float*, float*, float*, float*, float*, int, int, float, float)",50,"active_warps",1696674,1704108,1700371,85018593
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"tex0_cache_sector_queries",41412,41427,41419,2070957
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"tex1_cache_sector_queries",38967,38977,38971,1948597
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"tex0_cache_sector_misses",24838,24861,24847,1242396
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"tex1_cache_sector_misses",24023,24041,24033,1201673
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"fb_subp0_read_sectors",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"fb_subp1_read_sectors",0,0,0,0
